Changed stocks found: 254
Chunks: 3

--- Chunk 1/3 (3997 chars, 93 stocks) ---
? *CSE Live Movements* ? 2026-05-25 10:51 IST (1/3)

```
Ticker        Price     Change      Vol
? HSIG        77.90     +6.57%      100
? HVA          6.40     +6.67%     1.3M
? CLND        59.80     +6.79%   115.2K
? AGST        14.10     +6.82%     1.9M
? GEST       344.00     +6.83%     3.4K
? LITE        46.00     +6.98%    21.4K
? ONAL        50.00     +7.07%     1.3K
? ASIR        39.70     +7.30%    36.8K
? BFN         37.70     +7.41%     1.1K
? MSL        210.00     +7.55%      573
? CHL         52.50     +7.80%      272
? APLA       149.50     +7.94%     1.9K
? SINH        21.50     +8.04%     8.9K
? MEL          6.70     +8.06%    93.4K
? SIL        498.50     +8.13%       50
? KAHA        19.60     +8.29%    18.7K
? PARQ        82.00     +8.32%    26.4K
? SHL         14.10     +8.46%   518.7K
? MHDL        10.10     +8.60%    25.4K
? SHAW       310.00     +9.54%    66.6K
? AGST        13.20    +10.00%    14.5K
? EXT         14.20    +10.08%    23.6K
? CHOT        34.80    +10.48%    35.8K
? ACME         6.00    +11.11%     5.6M
? SLND     3,378.50    +11.35%       13
? CITH         5.90    +13.46%     2.4M
? AMSL        21.50    +13.76%   221.7K
? PARA       800.00    +14.29%      231
? UCAR     3,302.00    +15.22%     2.9K
? ASPH         0.60    +20.00%   640.0K
? CWL         22.00    +22.22%   160.1K
????????????????????????????????????????
Showing 68 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_

Done! 3 message(s) ready.
